Date,Category,Value,Product,Sales,Region
2023-01-01,C,41.6,Product1,510.9,North
2023-01-02,A,6.5,Product3,296.6,West
2023-01-03,C,26.9,Product2,474.9,East
2023-01-04,C,27.9,Product3,895.0,South
2023-01-05,A,69.9,Product3,391.9,West
2023-01-06,A,62.9,Product1,209.9,North
2023-01-07,C,84.2,Product3,420.7,East
2023-01-08,B,21.5,Product1,916.1,West
2023-01-09,C,42.2,Product3,344.9,West
2023-01-10,C,22.3,Product2,682.9,East
2023-01-11,C,76.8,Product3,100.5,West
2023-01-12,C,45.4,Product1,417.3,East
2023-01-13,A,24.8,Product1,374.3,South
2023-01-14,C,58.9,Product2,248.2,East
2023-01-15,B,8.0,Product3,580.7,East
2023-01-16,A,85.0,Product3,536.3,East
2023-01-17,B,47.7,Product2,723.2,West
2023-01-18,B,42.5,Product3,342.5,West
2023-01-19,B,93.0,Product3,319.7,East
2023-01-20,B,74.1,Product1,251.5,West
2023-01-21,A,36.0,Product3,296.9,North
2023-01-22,A,59.2,Product3,602.3,North
2023-01-23,B,54.5,Product2,463.5,West
2023-01-24,B,96.3,Product2,158.4,West
2023-01-25,A,85.2,Product1,328.5,East
2023-01-26,A,76.0,Product3,322.2,South
2023-01-27,A,56.3,Product3,726.7,West
2023-01-28,C,60.7,Product3,741.0,North
2023-01-29,C,96.7,Product1,233.3,East
2023-01-30,C,62.7,Product1,998.0,West
2023-01-31,B,31.2,Product2,340.1,North
2023-02-01,C,33.1,Product1,979.0,North
2023-02-02,B,20.7,Product3,469.9,South
2023-02-03,B,6.5,Product3,129.7,East
2023-02-04,C,45.2,Product1,410.6,East
2023-02-05,B,42.5,Product3,670.9,South
2023-02-06,C,32.9,Product3,712.6,South
2023-02-07,C,6.3,Product1,577.8,East
2023-02-08,A,23.9,Product1,503.0,East
2023-02-09,C,72.6,Product3,597.6,West
2023-02-10,A,80.1,Product3,633.4,West
2023-02-11,C,62.6,Product3,172.8,South
2023-02-12,C,93.0,Product2,432.7,West
2023-02-13,A,66.9,Product2,317.9,North
2023-02-14,A,91.9,Product2,822.8,West
2023-02-15,C,85.8,Product1,523.3,West
2023-02-16,B,47.7,Product2,985.1,North
2023-02-17,A,14.1,Product1,458.9,South
2023-02-18,B,40.2,Product1,834.8,North
2023-02-19,B,68.5,Product2,818.5,West
